"","Type","Play","Character","lines","words"
"1","Comedy","Cymbeline","",1,7
"2","Comedy","As you Like it","a Lord",1,4
"3","Tragedy","Coriolanus","a Patrician",3,15
"4","Comedy","Taming of the Shrew","a Player",4,32
"5","Tragedy","Titus Andronicus","Aaron",356,2883
"6","History","Richard II","Abbot",10,73
"7","History","Henry VIII","Abergavenny",18,116
"8","Comedy","Measure for Measure","Abhorson",19,144
"9","Tragedy","Romeo and Juliet","Abraham",5,24
"10","Tragedy","Troilus and Cressida","Achilles",190,1351
"11","Comedy","As you Like it","Adam",65,517
"12","Comedy","The Tempest","Adrian",12,64
"13","Comedy","A Comedy of Errors","Adriana",276,2147
"14","Comedy","Loves Labours Lost","Adriano De Armado",268,1981
"15","Tragedy","Coriolanus","Aedile",16,83
"16","Comedy","A Comedy of Errors","Aegeon",147,1128
"17","Comedy","A Comedy of Errors","Aemelia",73,569
"18","Tragedy","Titus Andronicus","Aemilius",21,157
"19","Tragedy","Troilus and Cressida","Aeneas",145,1068
"20","Tragedy","Troilus and Cressida","Agamemnon",196,1436
"21","Tragedy","Antony and Cleopatra","Agrippa",61,373
"22","Tragedy","Troilus and Cressida","Ajax",84,552
"23","Tragedy","King Lear","Albany",160,1079
"24","Tragedy","Timon of Athens","Alcibiades",163,1204
"25","History","Henry VI Part 1","Alencon",49,368
"26","Tragedy","Troilus and Cressida","Alexander",33,264
"27","Tragedy","Antony and Cleopatra","Alexas",31,210
"28","History","Henry v","Alice",27,170
"29","Comedy","A Midsummer Nights Dream","all",2,12
"30","Comedy","Alls Well that Ends Well","all",2,15
"31","Tragedy","Antony and Cleopatra","all",10,32
"32","Tragedy","Coriolanus","all",17,74
"33","Comedy","Cymbeline","all",1,2
"34","Tragedy","Hamlet","all",4,11
"35","History","Henry v","all",2,2
"36","History","Henry VI Part 1","all",1,8
"37","History","Henry VI Part 2","all",14,88
"38","History","Henry VI Part 3","all",1,5
"39","History","Henry VIII","all",1,2
"40","Tragedy","Julius Caesar","all",10,56
"41","Tragedy","Macbeth","all",26,149
"42","Comedy","Merchant of Venice","all",1,3
"43","Comedy","Merry Wives of Windsor","all",1,7
"44","Tragedy","Othello","all",2,5
"45","Comedy","Pericles","all",3,15
"46","History","Richard II","all",1,1
"47","History","Richard III","all",3,19
"48","Comedy","Taming of the Shrew","all",1,1
"49","Tragedy","Timon of Athens","all",1,4
"50","Tragedy","Titus Andronicus","all",4,32
"51","Tragedy","Troilus and Cressida","all",2,7
"52","Tragedy","Coriolanus","all Citizens",1,7
"53","Tragedy","Coriolanus","all Conspirators",3,22
"54","Tragedy","Timon of Athens","all Ladies",1,4
"55","Tragedy","Timon of Athens","all Lords",1,4
"56","Tragedy","Timon of Athens","all Servants",6,25
"57","Tragedy","Titus Andronicus","all the Goths",1,10
"58","Tragedy","Coriolanus","all the Lords",1,5
"59","Tragedy","Coriolanus","all the People",3,23
"60","Comedy","The Tempest","Alonso",110,790
"61","Comedy","As you Like it","Amiens",37,225
"62","Tragedy","Troilus and Cressida","Andromache",15,117
"63","Comedy","A Comedy of Errors","Angelo",96,664
"64","Comedy","Measure for Measure","Angelo",321,2434
"65","Tragedy","Macbeth","Angus",21,142
"66","History","Henry VIII","Anne",62,424
"67","Comedy","Merry Wives of Windsor","Anne Page",28,187
"68","History","Richard III","Another",1,11
"69","Comedy","A Winters Tale","Antigonus",112,821
"70","Comedy","Pericles","Antiochus",69,495
"71","Comedy","A Comedy of Errors","Antipholus",6,45
"72","Comedy","Merchant of Venice","Antonio",189,1471
"73","Comedy","Much Ado About Nothing","Antonio",55,435
"74","Comedy","The Tempest","Antonio",148,1026
"75","Comedy","Twelfth Night","Antonio",105,812
"76","Comedy","Two Gentlemen of Verona","Antonio",35,271
"77","Tragedy","Julius Caesar","Antony",329,2591
"78","Tragedy","Timon of Athens","Apemantus",248,1873
"79","Tragedy","Romeo and Juliet","Apothecary",7,54
"80","History","Henry IV","Archbishop of York",34,263
"81","History","Richard III","Archbishop of York",12,93
"82","Comedy","A Winters Tale","Archidamus",22,176
"83","Comedy","The Tempest","Ariel",170,1218
"84","Comedy","Loves Labours Lost","Armado",1,3
"85","Comedy","Merchant of Venice","Arragon",65,512
"86","Tragedy","Julius Caesar","Artemidorus",19,146
"87","History","King John","Arthur",120,1001
"88","Comedy","Cymbeline","Arviragus",146,1015
"89","Tragedy","Antony and Cleopatra","Attendant",2,10
"90","Comedy","Cymbeline","Attendant",3,24
"91","Tragedy","Macbeth","Attendant",1,8
"92","Tragedy","Antony and Cleopatra","Attendants",1,3
"93","Comedy","As you Like it","Audrey",18,151
"94","Tragedy","Coriolanus","Aufidius",276,2112
"95","History","King John","Austria",34,242
"96","Comedy","A Winters Tale","Autolycus",294,2467
"97","History","Richard II","Bagot",22,177
"98","Comedy","Merchant of Venice","Balthasar",1,7
"99","Comedy","Much Ado About Nothing","Balthasar",28,184
"100","Tragedy","Romeo and Juliet","Balthasar",32,239
"101","Comedy","A Comedy of Errors","Balthazar",31,207
"102","Tragedy","Timon of Athens","Banditti",4,17
"103","Tragedy","Macbeth","Banquo",113,795
"104","Comedy","Taming of the Shrew","Baptista",176,1339
"105","History","Henry IV","Bardolph",28,203
"106","History","Henry v","Bardolph",29,231
"107","Comedy","Merry Wives of Windsor","Bardolph",23,173
"108","Comedy","Measure for Measure","Barnardine",14,120
"109","Comedy","Merchant of Venice","Bassanio",336,2636
"110","History","Henry VI Part 1","Basset",25,196
"111","Tragedy","Titus Andronicus","Bassianus",63,477
"112","History","King John","Bastard",523,4208
"113","History","Henry VI Part 1","Bastard of Orleans",29,232
"114","History","Henry v","Bates",17,169
"115","Comedy","Pericles","Bawd",99,859
"116","History","Henry VI Part 2","Beadle",2,12
"117","Comedy","Much Ado About Nothing","Beatrice",270,2394
"118","History","Henry v","Bedford",7,55
"119","History","Henry VI Part 1","Bedford",76,615
"120","Comedy","Cymbeline","Belarius",346,2588
"121","Comedy","Much Ado About Nothing","Benedick",432,3801
"122","Tragedy","Romeo and Juliet","Benvolio",160,1189
"123","Tragedy","Hamlet","Bernardo",38,226
"124","Comedy","Alls Well that Ends Well","Bertram",273,2102
"125","History","Henry VI Part 2","Bevis",14,123
"126","Tragedy","Othello","Bianca",34,275
"127","Comedy","Taming of the Shrew","Bianca",71,553
"128","History","King John","Bigot",9,63
"129","Comedy","Taming of the Shrew","Biondello",102,839
"130","Comedy","Loves Labours Lost","Biron",624,4958
"131","History","Richard II","Bishop of Carlisle",63,501
"132","History","Richard III","Bishop of Ely",7,48
"133","History","King John","Blanch",42,341
"134","History","Richard III","Blunt",8,71
"135","Comedy","The Tempest","Boatswain",45,359
"136","History","Henry VI Part 2","Bolingbroke",24,211
"137","History","Henry VI Part 3","Bona",9,75
"138","Comedy","Much Ado About Nothing","Borachio",123,1019
"139","Comedy","Alls Well that Ends Well","both",2,11
"140","Tragedy","Coriolanus","both",3,11
"141","History","Henry VI Part 2","both",1,8
"142","History","Henry VIII","both",1,5
"143","Comedy","Pericles","both",1,6
"144","History","Richard III","both",3,9
"145","Tragedy","Timon of Athens","both",8,45
"146","Tragedy","Coriolanus","both Citizens",1,7
"147","Tragedy","Macbeth","both Murderers",2,8
"148","Tragedy","Coriolanus","both Tribunes",4,13
"149","Comedy","A Midsummer Nights Dream","Bottom",204,1699
"150","Comedy","Pericles","Boult",79,675
"151","History","Henry v","Bourbon",18,143
"152","History","Henry v","Boy",72,644
"153","History","Henry VI Part 1","Boy",20,166
"154","History","Henry VIII","Boy",1,3
"155","Comedy","Much Ado About Nothing","Boy",2,6
"156","History","Richard III","Boy",19,167
"157","Tragedy","Troilus and Cressida","Boy",3,26
"158","Comedy","Loves Labours Lost","Boyet",236,1838
"159","Tragedy","Othello","Brabantio",140,1071
"160","History","Richard III","Brakenbury",39,311
"161","History","Henry VIII","Brandon",14,86
"162","Tragedy","Coriolanus","Brutus",247,1619
"163","Tragedy","Julius Caesar","Brutus",729,5508
"164","History","Henry VI Part 2","Buckingham",76,574
"165","History","Henry VIII","Buckingham",192,1518
"166","History","Richard III","Buckingham",365,2820
"167","History","Henry v","Burgundy",68,517
"168","History","Henry VI Part 1","Burgundy",44,347
"169","Tragedy","King Lear","Burgundy",12,69
"170","History","Richard II","Bushy",39,282
"171","History","Henry VI Part 2","Cade",242,2182
"172","Tragedy","Julius Caesar","Caesar",135,1030
"173","Tragedy","Macbeth","Caithness",11,76
"174","Comedy","Cymbeline","Caius Lucius",105,749
"175","Tragedy","Troilus and Cressida","Calchas",32,247
"176","Comedy","The Tempest","Caliban",175,1411
"177","Tragedy","Julius Caesar","Calpurnia",27,208
"178","History","Henry v","Cambridge",15,111
"179","Comedy","A Winters Tale","Camillo",299,2146
"180","Tragedy","Antony and Cleopatra","Canidius",25,170
"181","History","Henry v","Canterbury",223,1692
"182","Tragedy","Timon of Athens","Caphis",31,212
"183","Tragedy","Antony and Cleopatra","Captain",1,7
"184","Comedy","Cymbeline","Captain",11,72
"185","Tragedy","Hamlet","Captain",12,86
"186","History","Henry VI Part 1","Captain",7,48
"187","History","Henry VI Part 2","Captain",64,488
"188","Tragedy","King Lear","Captain",6,38
"189","History","Richard II","Captain",15,126
"190","Tragedy","Titus Andronicus","Captain",7,94
"191","Comedy","Twelfth Night","Captain",32,242
"192","History","Henry VIII","Capucius",11,66
"193","Tragedy","Romeo and Juliet","Capulet",273,2223
"194","History","Henry VI Part 2","Cardinal",108,852
"195","History","Richard III","Cardinal",9,76
"196","History","Henry VIII","Cardinal Campeius",53,391
"197","History","King John","Cardinal Pandulph",164,1285
"198","History","Henry VIII","Cardinal Wolsey",439,3285
"199","History","Henry IV","Carrier",1,4
"200","Tragedy","Julius Caesar","Casca",133,1075
"201","Tragedy","Troilus and Cressida","Cassandra",37,263
"202","Tragedy","Othello","Cassio",279,2022
"203","Tragedy","Julius Caesar","Cassius",525,3931
"204","History","Richard III","Catesby",63,463
"205","Tragedy","Julius Caesar","Cato",8,56
"206","Comedy","As you Like it","Celia",276,2155
"207","Comedy","The Tempest","Ceres",24,166
"208","Comedy","Pericles","Cerimon",109,758
"209","History","Henry IV","Chamberlain",17,153
"210","History","Henry VIII","Chamberlain",151,1133
"211","History","Henry VIII","Chancellor",32,238
"212","Comedy","As you Like it","Charles",41,381
"213","History","Henry VI Part 1","Charles",135,1066
"214","Tragedy","Antony and Cleopatra","Charmian",105,635
"215","History","King John","Chatillon",41,302
"216","History","Richard III","Children",3,27
"217","Tragedy","Titus Andronicus","Chiron",53,429
"218","History","Henry v","Chorus",223,1710
"219","History","Henry VIII","Chorus",34,289
"220","Tragedy","Romeo and Juliet","Chorus",14,118
"221","History","Richard III","Christopher",8,59
"222","Tragedy","Julius Caesar","Cicero",9,65
"223","Tragedy","Julius Caesar","Cinna",18,133
"224","Tragedy","Julius Caesar","Cinna the Poet",14,106
"225","Tragedy","Coriolanus","Citizen",4,20
"226","Tragedy","Coriolanus","Citizens",24,148
"227","Tragedy","Julius Caesar","Citizens",2,14
"228","History","Richard III","Citizens",1,1
"229","History","Henry VI Part 3","Clarence",91,709
"230","History","Richard III","Clarence",163,1324
"231","Comedy","Measure for Measure","Claudio",113,807
"232","Comedy","Much Ado About Nothing","Claudio",287,2113
"233","Tragedy","Julius Caesar","Claudius",4,16
"234","Comedy","A Winters Tale","Cleomenes",23,143
"235","Comedy","Pericles","Cleon",110,860
"236","Tragedy","Antony and Cleopatra","Cleopatra",689,4876
"237","History","Henry VI Part 2","Clerk",3,18
"238","Comedy","Merchant of Venice","Clerk",17,141
"239","History","Henry VI Part 2","Clifford",56,479
"240","History","Henry VI Part 3","Clifford",141,1135
"241","Tragedy","Julius Caesar","Clitus",10,74
"242","Comedy","Cymbeline","Cloten",270,2108
"243","Comedy","A Winters Tale","Clown",184,1644
"244","Comedy","Alls Well that Ends Well","Clown",193,1717
"245","Tragedy","Antony and Cleopatra","Clown",28,252
"246","Tragedy","Othello","Clown",27,233
"247","Tragedy","Titus Andronicus","Clown",21,175
"248","Comedy","Twelfth Night","Clown",308,2477
"249","Comedy","A Midsummer Nights Dream","Cobweb",4,5
"250","Tragedy","Coriolanus","Cominius",287,2042
"251","History","Henry VI Part 2","Commons",3,22
"252","Comedy","Much Ado About Nothing","Conrade",34,250
"253","History","Henry v","Constable",115,933
"254","History","King John","Constance",264,2160
"255","Tragedy","King Lear","Cordelia",118,853
"256","Comedy","As you Like it","Corin",69,559
"257","Tragedy","Coriolanus","Coriolanus",681,4960
"258","Comedy","Cymbeline","Cornelius",74,541
"259","Tragedy","King Lear","Cornwall",108,758
"260","Comedy","Loves Labours Lost","Costard",207,1610
"261","Comedy","Alls Well that Ends Well","Countess",281,2226
"262","History","Henry v","Court",2,11
"263","Comedy","A Comedy of Errors","Courtezan",40,306
"264","History","Henry VIII","Cranmer",136,1058
"265","Tragedy","Troilus and Cressida","Cressida",295,2180
"266","History","Henry VIII","Crier",4,46
"267","History","Henry VIII","Cromwell",50,318
"268","Tragedy","Timon of Athens","Cupid",6,49
"269","Tragedy","King Lear","Curan",9,78
"270","Comedy","Twelfth Night","Curio",5,42
"271","Comedy","Taming of the Shrew","Curtis",25,176
"272","Comedy","Cymbeline","Cymbeline",297,2054
"273","Tragedy","Hamlet","Danes",3,14
"274","Tragedy","Julius Caesar","Dardanius",3,15
"275","Comedy","Pericles","Daughter",2,18
"276","History","Henry v","Dauphin",115,919
"277","Tragedy","Julius Caesar","Decius Brutus",44,332
"278","Tragedy","Troilus and Cressida","Deiphobus",2,10
"279","Comedy","A Midsummer Nights Dream","Demetrius",134,1084
"280","Tragedy","Antony and Cleopatra","Demetrius",5,36
"281","Tragedy","Titus Andronicus","Demetrius",94,739
"282","Comedy","As you Like it","Dennis",3,17
"283","History","Henry VIII","Denny",4,21
"284","History","Richard III","Derby",57,452
"285","Tragedy","Antony and Cleopatra","Dercetas",21,159
"286","Tragedy","Othello","Desdemona",388,2821
"287","Comedy","Alls Well that Ends Well","Diana",136,1048
"288","Comedy","Pericles","Diana",10,73
"289","History","Henry VI Part 2","Dick",36,261
"290","Tragedy","Antony and Cleopatra","Diomedes",19,129
"291","Tragedy","Troilus and Cressida","Diomedes",104,716
"292","Comedy","A Winters Tale","Dion",28,194
"293","Comedy","Pericles","Dionyza",90,683
"294","Tragedy","King Lear","Doctor",18,127
"295","Tragedy","Macbeth","Doctor",45,327
"296","History","Henry VIII","Doctor Butts",9,61
"297","Comedy","Merry Wives of Windsor","Doctor Caius",94,853
"298","Comedy","Much Ado About Nothing","Dogberry",175,1552
"299","Tragedy","Antony and Cleopatra","Dolabella",50,310
"300","Tragedy","Antony and Cleopatra","Domitius Enobarbus",356,2549
"301","Comedy","Much Ado About Nothing","Don John",107,904
"302","Comedy","Much Ado About Nothing","Don Pedro",313,2517
"303","Tragedy","Macbeth","Donalbain",10,63
"304","Comedy","A Winters Tale","Dorcas",12,67
"305","History","Richard III","Dorset",20,155
"306","Comedy","A Comedy of Errors","Dromio of Ephesus",187,1417
"307","Comedy","A Comedy of Errors","Dromio of Syracuse",314,2199
"308","History","Henry VI Part 2","Duchess",119,1002
"309","History","Richard II","Duchess",58,476
"310","History","Richard II","Duchess of York",94,753
"311","History","Richard III","Duchess of York",142,1127
"312","Comedy","Alls Well that Ends Well","Duke",19,125
"313","Comedy","Measure for Measure","Duke",1,6
"314","Comedy","Merchant of Venice","Duke",57,428
"315","Comedy","Two Gentlemen of Verona","Duke",200,1564
"316","Comedy","As you Like it","Duke Frederick",69,540
"317","History","Richard II","Duke of Aumerle",85,690
"318","History","Richard II","Duke of Surrey",10,78
"319","Tragedy","Othello","Duke of Venice",71,491
"320","History","Richard II","Duke of York",290,2303
"321","Comedy","Twelfth Night","Duke Orsino",220,1665
"322","Comedy","As you Like it","Duke Senior",111,838
"323","Comedy","A Comedy of Errors","Duke Solinus",93,712
"324","Comedy","Measure for Measure","Duke Vincentio",858,6723
"325","Comedy","Loves Labours Lost","Dull",30,248
"326","Comedy","Loves Labours Lost","Dumain",93,570
"327","Tragedy","Macbeth","Duncan",70,480
"328","History","Henry IV","Earl of Douglas",46,355
"329","History","Richard II","Earl of Salisbury",20,159
"330","History","Henry IV","Earl of Worcester",188,1448
"331","Tragedy","King Lear","Edgar",396,2984
"332","Tragedy","King Lear","Edmund",319,2410
"333","History","Henry VI Part 2","Edward",1,8
"334","History","Henry VI Part 3","Edward",132,1103
"335","Comedy","A Midsummer Nights Dream","Egeus",41,302
"336","Comedy","Two Gentlemen of Verona","Eglamour",28,197
"337","Tragedy","Antony and Cleopatra","Egyptian",6,38
"338","Comedy","Measure for Measure","Elbow",68,609
"339","History","King John","Elinor",2,8
"340","History","Henry v","Ely",27,185
"341","Comedy","A Winters Tale","Emilia",21,147
"342","Tragedy","Othello","Emilia",245,1863
"343","History","King John","English Herald",13,105
"344","Tragedy","Antony and Cleopatra","Eros",47,289
"345","History","Henry v","Erpingham",7,53
"346","Comedy","Measure for Measure","Escalus",188,1443
"347","Comedy","Pericles","Escanes",2,6
"348","History","King John","Essex",3,25
"349","Tragedy","Antony and Cleopatra","Euphronius",16,108
"350","History","Henry v","Exeter",130,1013
"351","History","Henry VI Part 1","Exeter",61,451
"352","History","Henry VI Part 3","Exeter",17,139
"353","History","Richard II","Exton",21,183
"354","Comedy","Twelfth Night","Fabian",109,880
"355","Comedy","A Midsummer Nights Dream","Fairy",31,215
"356","History","Henry IV","Falstaff",617,5693
"357","Comedy","Merry Wives of Windsor","Falstaff",436,3799
"358","History","Henry VI Part 1","Fastolfe",8,56
"359","History","Henry VI Part 3","Father",27,224
"360","Comedy","Merry Wives of Windsor","Fenton",94,769
"361","Comedy","Loves Labours Lost","Ferdinand",315,2439
"362","Comedy","The Tempest","Ferdinand",148,1061
"363","Tragedy","Coriolanus","Fifth Citizen",2,14
"364","Tragedy","Hamlet","First Ambassador",6,41
"365","History","Henry v","First Ambassador",17,134
"366","Tragedy","Macbeth","First Apparition",2,13
"367","Tragedy","Antony and Cleopatra","First Attendant",3,16
"368","Tragedy","Timon of Athens","First Bandit",11,90
"369","Comedy","Cymbeline","First Brother",12,64
"370","Comedy","Cymbeline","First Captain",4,31
"371","History","Henry IV","First Carrier",20,180
"372","Tragedy","Coriolanus","First Citizen",79,659
"373","History","Henry VI Part 2","First Citizen",4,38
"374","Tragedy","Julius Caesar","First Citizen",22,132
"375","History","King John","First Citizen",64,527
"376","History","Richard III","First Citizen",8,67
"377","Tragedy","Romeo and Juliet","First Citizen",7,53
"378","Tragedy","Hamlet","First Clown",94,761
"379","Tragedy","Julius Caesar","First Commoner",1,4
"380","Tragedy","Coriolanus","First Conspirator",8,59
"381","History","King John","First Executioner",2,19
"382","Comedy","Pericles","First Fisherman",38,328
"383","Comedy","Cymbeline","First Gaoler",45,420
"384","History","Henry VI Part 1","First Gaoler",4,31
"385","Comedy","A Winters Tale","First Gentleman",26,222
"386","Comedy","Alls Well that Ends Well","First Gentleman",12,73
"387","Comedy","Cymbeline","First Gentleman",67,526
"388","History","Henry VI Part 2","First Gentleman",7,57
"389","History","Henry VIII","First Gentleman",108,747
"390","Comedy","Measure for Measure","First Gentleman",22,172
"391","Tragedy","Othello","First Gentleman",3,19
"392","Comedy","Pericles","First Gentleman",24,137
"393","Tragedy","Titus Andronicus","First Goth",11,82
"394","Tragedy","Antony and Cleopatra","First Guard",19,119
"395","History","Richard II","First Herald",6,48
"396","Comedy","Taming of the Shrew","First Huntsman",9,76
"397","History","Henry VI Part 3","First Keeper",18,158
"398","Comedy","Pericles","First Knight",4,29
"399","Comedy","A Winters Tale","First Lady",9,50
"400","Comedy","Cymbeline","First Lady",2,8
"401","Tragedy","Timon of Athens","First Lady",1,9
"402","Comedy","A Winters Tale","First Lord",36,245
"403","Comedy","Alls Well that Ends Well","First Lord",114,876
"404","Comedy","As you Like it","First Lord",46,358
"405","Tragedy","Coriolanus","First Lord",13,89
"406","Comedy","Cymbeline","First Lord",39,302
"407","Comedy","Loves Labours Lost","First Lord",2,7
"408","Comedy","Pericles","First Lord",26,202
"409","Tragedy","Timon of Athens","First Lord",43,302
"410","Comedy","A Comedy of Errors","First Merchant",18,120
"411","History","Henry VI Part 3","First Messenger",1,6
"412","History","Henry VI Part 2","First Murder",1,4
"413","History","Henry VI Part 2","First Murderer",4,29
"414","Tragedy","Macbeth","First Murderer",30,172
"415","History","Richard III","First Murderer",58,450
"416","Tragedy","Othello","First Musician",5,23
"417","Tragedy","Romeo and Juliet","First Musician",9,64
"418","History","Henry VI Part 2","First Neighbour",2,21
"419","Tragedy","Coriolanus","First Officer",15,143
"420","Tragedy","Othello","First Officer",5,29
"421","Comedy","Twelfth Night","First Officer",12,102
"422","Comedy","Two Gentlemen of Verona","First Outlaw",21,160
"423","Comedy","As you Like it","First Page",5,40
"424","History","Henry VI Part 2","First Petitioner",8,66
"425","Comedy","Pericles","First Pirate",2,8
"426","Tragedy","Hamlet","First Player",52,374
"427","Tragedy","Hamlet","First Priest",13,93
"428","Tragedy","Coriolanus","First Roman",1,6
"429","Tragedy","Hamlet","First Sailor",5,41
"430","Comedy","Pericles","First Sailor",9,71
"431","History","Henry VIII","First Secretary",2,8
"432","Tragedy","Coriolanus","First Senator",90,612
"433","Comedy","Cymbeline","First Senator",15,104
"434","Tragedy","Othello","First Senator",26,185
"435","Tragedy","Timon of Athens","First Senator",90,582
"436","History","Henry VI Part 1","First Sentinel",4,23
"437","Comedy","A Winters Tale","First Servant",3,14
"438","Tragedy","Antony and Cleopatra","First Servant",9,69
